time,spent,allocation
0,28,111
1,76,276
2,136,421
3,176,571
4,200,695
5,308,889
6,340,932
7,412,1080
8,504,1234
9,576,1343
10,652,1455
11,732,1557
12,836,1701
13,936,1843
14,1064,1994
15,1204,2087
16,1324,2170
17,1448,2300
18,1600,2437
19,1776,2556
20,1952,2673
21,2140,2764
22,2300,2872
23,2456,2966
24,2584,3056
25,2796,3182
26,3004,3293
27,3228,3401
28,3460,3520
29,3688,3596
30,3932,3669
31,4212,3770
32,4452,3857
33,4708,3946
34,5052,4045
35,5328,4147
36,5564,4205
37,5864,4291
38,6184,4362
39,6516,4441
40,6816,4523
41,7124,4610
42,7524,4685
43,7860,4752
44,8192,4813
45,8468,4855
46,8872,4904
47,9188,4990
48,9592,5038
49,9928,5108
50,10316,5168
51,10632,5224
52,10980,5268
53,11392,5338
54,11708,5379
55,12000,5429
56,12352,5462
57,12712,5494
58,13120,5537
59,13420,5567
60,13780,5597
61,14092,5612
62,14416,5649
63,14676,5683
64,15012,5712
65,15296,5737
66,15580,5759
67,15900,5778
68,16200,5794
69,16524,5817
70,16736,5826
71,17048,5846
72,17260,5855
73,17496,5866
74,17768,5874
75,18012,5877
76,18240,5879
77,18440,5885
78,18708,5890
79,18924,5893
80,19100,5893
81,19352,5893
82,19588,5893
83,19796,5893
84,19972,5893
85,20180,5893
86,20388,5893
87,20564,5893
88,20736,5893
89,20920,5893
90,21068,5893
91,21188,5893
92,21336,5893
93,21472,5893
94,21592,5893
95,21716,5893
96,21824,5893
97,21928,5893
98,22040,5893
99,22188,5893
100,22252,5893
101,22348,5893
102,22448,5893
103,22508,5893
104,22572,5893
105,22652,5893
106,22716,5893
107,22780,5893
108,22820,5893
109,22876,5893
110,22936,5893
111,22968,5893
112,23028,5895
113,23072,5895
114,23116,5895
115,23152,5895
116,23172,5895
117,23208,5898
118,23240,5898
119,23264,5901
120,23304,5902
121,23312,5902
122,23352,5915
123,23364,5915
124,23404,5933
125,23416,5933
126,23436,5942
127,23468,5948
128,23484,5948
129,23500,5961
130,23528,5972
131,23536,5974
132,23552,5989
133,23576,5997
134,23576,5998
135,23588,6015
136,23596,6026
137,23612,6029
138,23640,6035
139,23664,6035
140,23668,6039
141,23688,6055
142,23704,6062
143,23724,6066
144,23728,6068
145,23740,6087
146,23752,6098
147,23768,6103
148,23788,6108
149,23800,6112
150,23816,6120
151,23828,6126
152,23836,6134
153,23852,6143
154,23860,6148
155,23868,6154
156,23896,6168
157,23908,6168
158,23924,6173
159,23948,6178
160,23972,6178
161,23988,6179
162,24020,6186
163,24040,6186
164,24048,6190
165,24080,6202
166,24108,6202
167,24136,6202
168,24148,6202
169,24168,6206
170,24192,6207
171,24208,6207
172,24232,6210
173,24252,6210
174,24292,6210
175,24304,6210
176,24320,6217
177,24336,6222
178,24348,6223
179,24384,6229
180,24412,6229
181,24428,6229
182,24440,6234
183,24456,6238
184,24468,6241
185,24492,6247
186,24516,6247
187,24544,6247
188,24564,6247
189,24584,6247
190,24600,6247
191,24620,6248
192,24640,6248
193,24660,6248
194,24680,6248
195,24700,6248
196,24720,6248
197,24732,6248
198,24744,6251
199,24776,6253
