time,spent,allocation
351,41748,10437
352,41748,10437
353,41748,10437
354,41748,10437
355,41748,10437
356,41748,10437
357,41748,10437
358,41748,10437
359,41748,10437
360,41748,10437
361,41748,10437
362,41748,10437
363,41748,10437
364,41748,10437
365,41748,10437
366,41748,10437
367,41748,10437
368,41748,10437
369,41748,10437
370,41748,10437
371,41748,10437
372,41748,10437
373,41748,10437
374,41748,10437
375,41748,10437
376,41748,10437
377,41748,10437
378,41748,10437
379,41748,10437
380,41748,10437
381,41748,10437
382,41748,10437
383,41748,10437
384,41748,10437
385,41748,10437
386,41748,10437
387,41748,10437
388,41748,10437
389,41748,10437
390,41748,10437
391,41748,10437
392,41748,10437
393,41748,10437
394,41748,10437
395,41748,10437
396,41748,10437
397,41748,10437
398,41748,10437
399,41748,10437
400,41748,10437
401,41748,10437
402,41748,10437
403,41748,10437
404,41748,10437
405,41748,10437
406,41748,10437
407,41748,10437
408,41748,10437
409,41748,10437
410,41748,10437
411,41748,10437
412,41748,10437
413,41748,10437
414,41748,10437
415,41748,10437
416,41748,10437
417,41748,10437
418,41748,10437
419,41748,10437
420,41748,10437
421,41748,10437
422,41748,10437
423,41748,10437
424,41748,10437
425,41748,10437
426,41748,10437
427,41748,10437
428,41748,10437
429,41748,10437
430,41748,10437
431,41748,10437
432,41748,10437
433,41748,10437
434,41748,10437
435,41748,10437
436,41748,10437
437,41748,10437
438,41748,10437
439,41748,10437
440,41748,10437
441,41748,10437
442,41748,10437
443,41748,10437
444,41748,10437
445,41748,10437
446,41748,10437
447,41748,10437
448,41748,10437
449,41748,10437
450,41748,10437
451,41748,10437
452,41748,10437
453,41748,10437
454,41748,10437
455,41748,10437
456,41748,10437
457,41748,10437
458,41748,10437
459,41748,10437
460,41748,10437
461,41748,10437
462,41748,10437
463,41748,10437
464,41748,10437
465,41748,10437
466,41748,10437
467,41748,10437
468,41748,10437
469,41748,10437
470,41748,10437
471,41748,10437
472,41748,10437
473,41748,10437
474,41748,10437
475,41748,10437
